"sra_id","marine surface","hot spring","human ear","human vagina","other water","built environment","chemical vessel","human","microbial mat","human blood","human respiratory","marine","sludge","saltern","human eye","mine","human wound","rock","food","soil","human gut","human urogenital","marine coastal","biofilm","marine deep","sand","mine drainage","clay","contaminated water","marine benthic","human liver","human bone","human skin","sediment","fresh water","plant","spring","fungus","biogas material","animal","waste water","bone","oil","mud","hypersaline lake","solid environmental material","air","human brain","coal mine","percent_unique_kmer","percent_16S","percent_phage","percent_Prokaryote","percent_human","source"
"SRR2005676","0","3.0616069941160005","0.278327908556","0.556655817112","2.504951177004","0.278327908556","1.6699674513359999","3.618262811228001","0","1.39163954278","2.504951177004","3.3399349026720007","0.556655817112","0.278327908556","0","0","0.556655817112","0.278327908556","3.618262811228001","5.288230262564002","6.679869805344003","0.278327908556","0.556655817112","0.278327908556","0","0","0","0","0","0.556655817112","0","0","0.556655817112","2.504951177004","0.278327908556","1.9482953598919999","0.278327908556","0","0","6.123213988232003","2.7832790855600003","0","0.556655817112","0.556655817112","0","1.113311634224","0","0","0","79.8305428","0.35","0.77","37.56","11.57","human skin"
"SRR1647271","0","5.53973562162","0","0","22.15894248648","0","0","13.84933905405","0","8.30960343243","5.53973562162","19.389074675670003","2.76986781081","0","0","0","0","0","5.53973562162","16.61920686486","19.389074675670003","2.76986781081","0","0","0","0","0","0","0","2.76986781081","0","0","2.76986781081","16.61920686486","2.76986781081","5.53973562162","0","0","0","22.15894248648","0","0","2.76986781081","8.30960343243","0","0","0","0","0","84.2315506","0.09","0.51","24.04","35.24","human skin"
"SRR1647089","0","17.68131908518","0","0","1.08682001964","0","0","4.734703914103","0","0.0298713426308","11.5644940380907","1.767390428097","0","11.64582467246","0","0","0.158513533903","0","0.0342865423907","0.555222336199","43.863227226156","0","0","0","0","0","0","0","0","0","0","0","0","0.561630865174","0.052460646875","0","0","0","0","5.1976712514936","0.319702448563","0","0.7468616490825001","0","0","0","0","0","0","62.1822607","0.21","0.12","9.18","0.07","human skin"
"SRR1647002","0","0.539994487966","0","0.498206500554","3.081014931415","0","1.824404164264","8.965785936037001","0","0.0148283095348","3.7054043768286906","8.386696768714","0.113478467502","4.836706942810999","0","0","0.0472422889979","0","1.4737167847069","1.3786392751363001","17.910162871064898","0.0531432170753","0","0","0","0","0","0","0","0.116591072589","0","0","34.3947236491","0.430835012389","2.12352709284","0.477154613218939","0","0","0","3.4068425558386","0","0","0.927360623905","4.34904745236","0.389837731654","0.554654873582","0","0","0","57.5212279","0.23","0.23","52.3","0.07","human skin"
"SRR2005638","0","0.0651837103614","0","0.0108639517269","0.0434558069076","0.0108639517269","0.0217279034538","0.0325918551807","0","0.0108639517269","0","0.054319758634500004","0.0325918551807","0","0","0","0","0","0.0217279034538","0.11950346899589998","0.13036742072279997","0","0","0.0108639517269","0","0","0","0","0","0.0108639517269","0","0","0.0108639517269","0.0325918551807","0.0108639517269","0.0217279034538","0","0","0","0.09777556554209998","0.0108639517269","0","0.0108639517269","0.0108639517269","0","0.0108639517269","0","0.0108639517269","0","57.7961785","0.05","0.01","12.99","31.68","human skin"
"SRR1647259","0","0.32356653419764003","0","0","7.3212812745718","0","0","30.2748482581313","0","1.5398934516693001","15.7824428321006","11.929424106287502","0.971908103468","0","0","0","0","0","0.16119046400528","1.9303393612734001","5.7967701571882015","3.05558677103","0","0","0","0","0","0","0","0.163675642762","0","0","4.198210800192","1.6002589012856","0","0.340184437457","0","0","0.529317654293","11.047052133119369","0.345955138865","0","1.25572758736","1.1431866619181001","0","0.184943952341","0.10423577647","0","0","65.4271933","0.17","0.13","47.6","0.02","human skin"
"SRR1950764","0","4.589338011106101","0","0","10.67330618238","0","0","1.495589377882","0","0.226084983013","0.046319386887359995","19.7263663498229","1.57836094795","0","0","0","0","0","0.2141311111","6.565460464643","4.7601180452615","0.015402311113","0","0","0","0","0","0","0","0","0","0","0.600045341598","12.70725449142","0","0.647409459144","0","0","0","26.0631814559169","0","0","3.47953990329","5.45355176217683","0","0.31594478467270004","0.842595630535","0","0","81.4713529","0.03","0.01","6.96","0.01","human skin"
"SRR1647278","0","2.0259639066614","0","0","4.853818724824018","0","0.2925064264199","21.327720674773353","0","2.0105867102088504","7.673474982414831","6.370368274282001","0.20421516569","0","0","0","26.5418591128","0","0.6939530914826599","1.45303471108508","7.11636701145184","3.7043718480430003","0","0.167847627018","0.428333892627","0.178783121847","0","0","0","0.10210962474103","0","0","1.3923903989311002","2.446646736615","0.0243347779339","0.31550542128001","0","0","0","8.520501482429058","0.4303436343228","0","0.46789316806605996","0.9664406276034","0","0.1944050718939","0","0.0922309328057","0.00399284170584","67.0829276","0.16","0.58","53.31","0.00","human skin"
"SRR1950740","0","2.8364959696379004","0","2.09349837728","9.971991836585351","1.00968540021","0","19.062852644334303","0.165661144336","0.84994200409449","6.104244839523175","15.2574106330747","0.908496299586","0","0","0","0","0","1.193037477436","2.8346810972731005","7.709935213322165","0.44034898647799997","0","0","0.192123739369","0","0","0","0","0.218048124708","0","0","2.8832874336359997","2.7110617751015997","0.4068383775","3.6611844994893","0","0","0","13.044894104943399","0.34755209216570004","0","1.0348230911389","1.5406326932421","0","1.6024104984343","0.408797194898","1.37686067341","0.133203778787","87.0724436","0.09","0.02","23.04","0.01","human skin"
"SRR1647221","0","8.527815843514","0","0","0.118420016019","0","0","4.248437751473","0","0.0308750348678","4.468088030026","4.593925642325","0","17.571761035326","0","0","0","0","0.3179480186356","7.8878271854352","30.951668067176","0.0564479889835","0","0","0","0","0","0","0","0","0","0","0","0","0","0.91812254084","0","0","0","10.096665356311899","4.68473966692","0","2.85463538523","0.573079733044","0","2.099542703944","0","0","0","73.4650318","0.28","0.67","19.35","0.13","human skin"
